5764.639999999999,3774.9300000000003,5764.639999999999,5,3774.9300000000003,84.0,2018年44周,测试-唐唐,1
395.11999999999995,232.52999999999997,395.11999999999995,5,232.52999999999997,3.2,2018年44周,测试-唐唐,未分组
18653.6,13101.19,18653.6,8,13101.19,1621.3999999999999,2018年44周,测试-李源,1
599.04,321.17,599.04,3,321.17,173.92000000000002,2018年44周,测试-李源,未分组
9054.08,6749.44,9054.08,5,6749.44,1285.6,2018年44周,测试门店宝-saas,1
324.96000000000004,199.85000000000002,324.96000000000004,3,199.85000000000002,83.24000000000001,2018年44周,测试门店宝-saas,未分组
13230.4,7989.830000000001,13230.4,12,7989.830000000001,148.0,2018年45周,测试-唐唐,1
967.36,525.58,967.36,14,525.58,5.6,2018年45周,测试-唐唐,未分组
41217.43999999999,28598.389999999996,41217.43999999999,19,28598.389999999996,1386.32,2018年45周,测试-李源,1
1252.0800000000002,654.52,1252.0800000000002,7,654.52,168.24,2018年45周,测试-李源,未分组
18352.8,13439.619999999999,18352.8,12,13439.619999999999,1327.6000000000001,2018年45周,测试门店宝-saas,1
613.1999999999999,346.91999999999996,613.1999999999999,7,346.91999999999996,61.72,2018年45周,测试门店宝-saas,未分组
9415.2,5626.750000000001,9415.2,9,5626.750000000001,168.0,2018年46周,测试-唐唐,1
617.44,328.17,617.44,10,328.17,5.199999999999999,2018年46周,测试-唐唐,未分组
29541.920000000002,19887.13,29541.920000000002,14,19887.13,1153.6,2018年46周,测试-李源,1
849.9999999999999,432.72,849.9999999999999,5,432.72,137.68,2018年46周,测试-李源,未分组
14754.240000000002,10307.539999999999,14754.240000000002,9,10307.539999999999,1349.28,2018年46周,测试门店宝-saas,1
546.6399999999999,291.33,546.6399999999999,9,291.33,6.4,2018年46周,测试门店宝-saas,未分组
